principles	<u><b>principles</b></u>:princípios.		"01.  <font color=""#00aaff""><u>(often plural)</font></u> a set of such moral rules."		(3)princípios	(34205)princípios	princípios								law, standard																														[sound:7001-8000/thesaurus/7001-8000-thesaurus-principles.mp3]					(ˈprɪn sə pəl)	ˈprɪnsəplz,ˈprɪnsɪp(ə)l	ˈprɪn sə pəl																						
blend	<u><b>blend</b></u>:mistura,combinação,mescla. <u><b>to blend</b></u>:combinar,misturar. <u><b>to blend</b></u>:fundir,mesclar.	1. to mix two or more things together completely. <BR>2. to look, sound, or taste good together. <BR>3. two or more things that are put together.	"01.  To mix or mingle <font color=""#00aaff""><u>(components)</font></u> together thoroughly.<BR>02.  <font color=""#00aaff""><u>(intr)</font></u> to look good together; harmonize.<BR><BR>01.  To combine <font color=""#00aaff""><u>(different elements)</font></u> into a single entity."		(3)misturar,(3)mistura,(3)combinação	(2167)mistura	·combinar,mistura,·mescla,misturar,combinação	·combinar,mistura,·mescla,misturar,combinação	misturar,combinar,mistura	<b>blend</b> misturar(-se) <b>.</b>&nbsp;mistura&nbsp;<div>					composite, mix,mix,harmonize																														[sound:7001-8000/thesaurus/7001-8000-thesaurus-blend.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-blend.mp3]				(blɛnd)	blend	blɛnd					"<span class=""ipa dipa"">blend</span>"																	
blankets					cobertores	(1382)cobertores	cobertores								comprehensive,cover, covering																														[sound:7001-8000/thesaurus/7001-8000-thesaurus-blankets.mp3]					(ˈblæŋ kɪt)	ˈblæŋkɪt	ˈblæŋ kɪt																						
yuck	<u><b>yuck</b></u>:eca!,bah!.	1. used to say that something looks or tastes very bad.			que nojo	(18)que nojo,(30)eca			credo						audible expression of amusement,amusement,laugh,sticky substance																														[sound:7001-8000/thesaurus/7001-8000-thesaurus-yuck.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-yuck.mp3]				(yʌk)		yʌk					"<span class=""ipa dipa"">jʌk</span>"																	
jolly	<u><b>jolly</b></u>:contente,bem disposto. <u><b>to jolly</b></u>:trocar.	1. happy or enjoyable.			(3)alegre	(252)alegre	alegre	alegre	jovial,alegre	<b>jolly</b>  alegre  muito					laughing, joyful																														[sound:7001-8000/thesaurus/7001-8000-thesaurus-jolly.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-jolly.mp3]				(ˈdʒɒl i)	ˈʤɒlɪ	ˈdʒɒl i					"<span class=""ipa dipa"">ˈdʒɑ·li</span>"																	
greet	<u><b>to greet</b></u>:saudar,cumprimentar.	1. to say hello to someone who has arrived in a place.			(3)cumprimentar,(3)saudar	(2467)saudar	cumprimentar,saudar,·receber	saudar,·receber	saudar,cumprimentar	<b>greet</b>  saudar					welcome																														[sound:7001-8000/thesaurus/7001-8000-thesaurus-greet.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-greet.mp3]				(grit)	griːt	grit					"<span class=""ipa dipa"">ɡrit</span>"																	
gravy	<u><b>gravy</b></u>:suco,molho,molho feito do caldo da carne.	1. a warm, brown sauce that you put on meat.			(2)molho de carne,molho	(595)molho	molho	molho	molho feito com caldo de carne						sauce																														[sound:7001-8000/thesaurus/7001-8000-thesaurus-gravy.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-gravy.mp3]				(ˈgreɪ vi)	ˈgreɪvɪ	ˈgreɪ vi					"<span class=""ipa dipa"">ˈɡreɪ·vi</span>"																	
dreamt					sonhou	(746)sonhei									conjure up scenario																														[sound:7001-8000/thesaurus/7001-8000-thesaurus-dreamt.mp3]					(drim)	driːmz,driːm	drɛmt																						
dice	<u><b>dice</b></u>:dado. <u><b>to dice</b></u>:cortar em pedaços pequenos,cortar em pedaços.	1. a small object with six equal square sides, each with between one and six spots on it, used in games. <BR>2. to cut food into small squares.	"03.  To cut <font color=""#00aaff""><u>(food)</font></u> into small cubes.<BR>05.  To win or lose <font color=""#00aaff""><u>(money)</font></u> by gambling with dice."		(3)dados	(1433)dados	·dado	·dado,dado,dados	dado,cortar em cubos	<b>dice</b>  <b>American</b> <b>die</b>  dado  <b>1.</b>  cortar em cubos <b>2.</b> jogar					cubes																														[sound:7001-8000/thesaurus/7001-8000-thesaurus-dice.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-dice.mp3]				(daɪs)	daɪs	daɪs					"<span class=""ipa dipa"">dɑɪs</span>"																	
whale	<u><b>whale</b></u>:baleia. <u><b>to whale</b></u>:surrar.	1. a very large animal that looks like a fish and lives in the sea.	"01.  <font color=""#00aaff""><u>(cap.)</font></u> the constellation Cetus.<BR>05.  To strike or hit <font color=""#00aaff""><u>(a ball)</font></u> with great force."		(3)baleia	(2221)baleia	cachalote,baleia	cachalote,baleia	baleia	<b>whale</b>  baleia <b>killer whale</b>  baleia assassina					cetacean mammal																														[sound:7001-8000/thesaurus/7001-8000-thesaurus-whale.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-whale.mp3]				(ʰweɪl, weɪl)	weɪl	ʰweɪl, weɪl					"<span class=""ipa dipa"">hweɪl</span>"																	
starling	<u><b>starling</b></u>:estorninho	1. a common bird with black or dark brown feathers that lives in large groups in many parts of the world.			(3)estorninho		estorninho		estorninho	<b>starling</b>  estorninho																																				[sound:7001-8000/cambridge/7001-8000-cambridge-starling.mp3]				(ˈstɑr lɪŋ)	ˈstɑːlɪŋ						"<span class=""ipa dipa"">ˈstɑr·lɪŋ</span>"																	
poo	<u><b>poo</b></u>:cocó,caca,cocô,bosta. <u><b>to poo</b></u>:fazer cocô	1. (a piece of) solid waste from the body.			cocô	(465)cocó	cocó		cocô,fazer cocô																																					[sound:7001-8000/cambridge/7001-8000-cambridge-uspompo006.mp3]					puː						"<span class=""ipa dipa"">puː</span>"																	
phew	<u><b>phew</b></u>:ufa				ufa,(2)enfado,(2)aborrecimento,(2)impaciência	(31)ufa				<b>phew</b> <b>interjection</b>  ufa					my goodness,emphatic exclamation																														[sound:7001-8000/thesaurus/7001-8000-thesaurus-phew.mp3]					(ʰwyu, fyu)		fyu, pfyu, whyu																						
outcome	<u><b>outcome</b></u>:resultado,efeito,conseqüência,desfecho,decorrência,desenlace,consequência.	1. the final result of an activity or process.			(3)resultado	(8325)resultado	·desfecho,resultado	·desfecho,resultado	resultado	<b>outcome</b>  resultado					consequence, effect																														[sound:7001-8000/thesaurus/7001-8000-thesaurus-outcome.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-eus75335.mp3]				(ˈaʊtˌkʌm)	ˈaʊtkʌm	ˈaʊtˌkʌm					"<span class=""ipa dipa"">ˈɑʊtˌkʌm</span>"																	
ounce	<u><b>ounce</b></u>:onça.	1. a unit for measuring weight, equal to 28.35 grams.	"01.  <font color=""#00aaff""><u>(Units)</font></u> short for fluid ounce."		(3)onça	(465)onça	onça	onça	onça	<b>ounce</b>  <b> abbreviated to</b> <b>oz</b> <b>when written</b> onça					one-sixteenth of a pound/28.35 grams																														[sound:7001-8000/thesaurus/7001-8000-thesaurus-ounce.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-eus75327.mp3]				(aʊns)	aʊns	aʊns					"<span class=""ipa dipa"">aʊns</span>"																	
meter	<u><b>meter</b></u>:metro,gabarito,medidor,marcador. <u><b>to meter</b></u>:medir.	1. a piece of equipment for measuring the amount of something such as electricity, time, or light. <BR>2. US spelling of metre.	"01.  <font color=""#00aaff""><u>(Automotive Engineering)</font></u> See parking meter.<BR>"		(3)medidor,(3)metro	(1445)medidor,(1074)metro	medidor,metro		medidor,relógio,ortografia americana de “metre”						rhythm, beat																														[sound:7001-8000/thesaurus/7001-8000-thesaurus-meter.mp3]					(ˈmi tər)	ˈmiːtə	ˈmi tər																						
likewise	<u><b>likewise</b></u>:também,igualmente,da mesma forma,idem,outrossim	1. in the same way.			da mesma forma,(3)também,(3)igualmente	(808)do mesmo modo,(1489)da mesma forma,(1231)também,(992)igualmente	também,igualmente	igualmente	igualmente	<b>likewise</b>  <b>1.</b> do mesmo modo <b>2.</b> assim como					also, similarly																														[sound:7001-8000/thesaurus/7001-8000-thesaurus-likewise.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-likewise.mp3]				(ˈlaɪkˌwaɪz)	ˈlaɪkwaɪz	ˈlaɪkˌwaɪz					"<span class=""ipa dipa"">ˈlɑɪkˌwɑɪz</span>"																	
gran	<u><b>gran</b></u>:vó,vovó	1. a grandmother.			vovó				vovó																																					[sound:7001-8000/cambridge/7001-8000-cambridge-usgran_001.mp3]					græn																							
felon	<u><b>felon</b></u>:criminoso	1. a person who is guilty of a serious crime.			(3)criminoso	(355)criminoso	criminoso	criminoso	criminoso,-a	<b>felon</b>  criminoso					criminal																														[sound:7001-8000/thesaurus/7001-8000-thesaurus-felon.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-felon.mp3]				(ˈfɛl ən)	ˈfelən	ˈfɛl ən																						
feature	<u><b>feature</b></u>:característica,aspecto,qualidade,traço,habilidade,reportagem,feição,atributo. <u><b>to feature</b></u>:apresentar,destacar.	1. an important part of something. <BR>2. a part of a person’s face. <BR>3. to include someone or something as an important part.			característico,(3)característica	(4910)característica,(3947)recurso	característica,·apresentado,·funcionalidade,destacado,·caracterizado,função,·recurso	característica,·apresentado,destacado,·funcionalidade,·caracterizado,·recurso	característica,aspecto,função,traço fisionômico,apresentar (como atração importante),ser estrelado por						characteristic,highlight, special attraction,special article in publication,give prominence to																														[sound:7001-8000/thesaurus/7001-8000-thesaurus-feature.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-feature.mp3]				(ˈfi tʃər)	ˈfiːʧə	ˈfi tʃər					"<span class=""ipa dipa"">ˈfi·tʃər</span>"																	
favorites	<u><b>favorites</b></u>:favoritos.		"01.  <font color=""#00aaff""><u>(Horse Racing)</font></u> sport a competitor thought likely to win."		favoritos	(1651)favoritos	favoritos								something or someone cherished, prized																																													[sound:7001-8000/thesaurus/7001-8000-thesaurus-favorites.mp3]						ˈfeɪvərɪt,ˈfeɪvərɪts,ˈfeɪvə	ˈfeɪ vər ɪt, ˈfeɪv rɪt							
conceived			"01.  <font color=""#00aaff""><u>(tr)</font></u> to develop or form, esp in the mind.<BR>04.  To become pregnant with <font color=""#00aaff""><u>(offspring)</font></u>.<BR>06.  To form <font color=""#00aaff""><u>(a notion, opinion, purpose, etc.)</font></u>."		concebido	(2255)concebido	concebido,·idealizado	,concebido,·idealizado							understand,create																													[sound:7001-8000/howjsay/7001-8000-howjsay-conceived.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-conceived.mp3]					(kənˈsiv)	kənˈsiːvd,kənˈsiːv	kənˈsiv																						
cane	<u><b>cane</b></u>:cana,bengala,pau,vara,bastão,cana de açúcar. <u><b>to cane</b></u>:vergastar.	1. a long stick with a handle that a person can lean on while walking. <BR>2. a stick taken from a plant, sometimes used to make furniture.			(3)cana,(3)bastão,(3)bengala	(1624)cana	cana,·bastão,bengala	cana,·bastão	bengala,vara	<b>cane</b> <b>.</b> &nbsp;cana <b>.</b> bengala <b>.</b>&nbsp;fustigar&nbsp;<div>	"<div>1. <font color=""#c7c7c7""><i><u><b></b></u></i></font>  cana, junco<br>2. <font color=""#c7c7c7""><i><u><b></b></u></i></font>  bengala<br>3. <font color=""#c7c7c7""><i><u><b></b></u></i></font>  vara<br>4. <font color=""#c7c7c7""><i><u><b></b></u></i></font>  vergasta<br>5. <font color=""#c7c7c7""><i><u><b></b></u></i></font>  pau de lacre<br>1. <font color=""#c7c7c7""><i><u><b></b></u></i></font>  vergastar;  açoitar com vergasta<br>2. <font color=""#c7c7c7""><i><u><b></b></u></i></font>  bater com a bengala</div>"				stick to aid walking of disabled		01. <b>cane</b>  (walking stick)<BR>02. <b>the cane</b>  (punishment: beating with stick)<BR>03. <b>cane</b>  (woody stems: for wickerwork)<BR>04. <b>cane</b>  US, abbreviation (sugar cane)<BR>05. <b>cane </b>  UK, slang (consume a lot of) (BRA: gíria, fazer algo com exagero)<BR>06. <b>candy cane</b>  US (curved confectionery stick)<BR>07. <b>cane sugar</b>  (sugar from sugarcane)<BR>08. <b>cane</b>  (rod used as punishment) (pedaço de pau usado para punição)<BR>09. <b>cane </b>  (beat as punishment)<BR>10. <b>cane </b>  (repair or make [sth] with cane)<BR>11. <b>sugar cane</b>  (stem of sugarcane plant) (caule da cana-de-açúcar)	01. the hard hollow stem of some plants, for example bamboo or sugar<br>02. these stems used as a material for making furniture, etc.<br>03. a piece of cane or a thin stick, used as a support for plants<br>04. a piece of cane or a thin stick, used to help somebody to walk<br>05. a piece of cane or a thin stick, used in the past in some schools for beating children as a punishment			"<b>""Anyway, the <font color=""#ff0000"">cane</font> is fabulous.""</b><br><i>""De qualquer maneira, a <font color=""#ff0000"">bengala</font> é fabulosa.""</i><br><br><b>""Okay, we're going into the <font color=""#ff0000"">cane</font>.""</b><br><i>""Certo, vamos para o <font color=""#ff0000"">canavial</font>.""</i><br><br><b>""A <font color=""#ff0000"">cane</font> befitting their... transgression.""</b><br><i>""Uma <font color=""#ff0000"">vara</font> a condizer com a transgressão deles.""</i><br><br><b>""Place the <font color=""#ff0000"">cane</font> next to the right hand.""</b><br><i>""Coloque o <font color=""#ff0000"">cajado</font> perto da mão direita.""</i><br>"					"01. <font color=""#c7c7c7""><i>these stems used as a material for making furniture, etc.</i></font><br><font color=""#c7c7c7""><i>estes caules utilizados como material para a fabricação de móveis, etc.</i></font><br><b>""a <font color=""#ff0000"">cane</font> chair""</b><br><i>""uma cadeira de cana""</i><br><br><br>02. <font color=""#c7c7c7""><i>a piece of cane or a thin stick, used as a support for plants</i></font><br><font color=""#c7c7c7""><i>um pedaço de cana ou um espeto fino, usado como suporte para plantas</i></font><br><b>""bean plants supported by long <font color=""#ff0000"">canes</font>""</b><br><i>""plantas de feijão sustentadas por longos bastões""</i><br><br><br>03. <font color=""#c7c7c7""><i>a piece of cane or a thin stick, used to help somebody to walk</i></font><br><font color=""#c7c7c7""><i>um pedaço de bengala ou um pau fino, usado para ajudar alguém a andar</i></font><br><b>""He clutched a top hat and a silver-topped <font color=""#ff0000"">cane</font>.""</b><br><i>""Ele tinha uma cartola e uma bengala de prata.""</i><br><br><br>04. <font color=""#c7c7c7""><i>a piece of cane or a thin stick, used in the past in some schools for beating children as a punishment</i></font><br><font color=""#c7c7c7""><i>um pedaço de cana ou um pau fino, usado no passado em algumas escolas para bater as crianças como um castigo</i></font><br><b>""to get the <font color=""#ff0000"">cane</font> (= be punished with a cane)""</b><br><i>""para obter a bengala (=ser punido com uma bengala)""</i><br>"																		[sound:7001-8000/howjsay/7001-8000-howjsay-cane.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-cane.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-cane.mp3]				(keɪn)	keɪn	keɪn					"<span class=""ipa dipa"">keɪn</span>"	keɪn																
marching	<u><b>marching</b></u>:marcha.				(3)marcha	(379)marchando,(215)marcha,(295)marchar	marcha,marchar								advancing																													[sound:7001-8000/howjsay/7001-8000-howjsay-marching.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-marching.mp3]						ˈmɑːʧɪŋ,mɑːʧ	mɑrtʃ																						
kitten	<u><b>kitten</b></u>:gatinho,bichano. <u><b>to kitten</b></u>:parir.	1. a young cat.	"01.  <font color=""#00aaff""><u>(Animals)</font></u> a young cat.<BR>02.  <font color=""#00aaff""><u>(of a cat)</font></u> to give birth."		(3)gatinho	(857)gatinho		,gatinho	gatinho	<b>kitten</b>  gatinho					young cat																													[sound:7001-8000/howjsay/7001-8000-howjsay-kitten.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-kitten.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-kitten.mp3]				(ˈkɪt n)	kɪtn	ˈkɪt n					"<span class=""ipa dipa"">ˈkɪt̬·<span class=""sp dsp"">ə</span>n</span>"																	
hassle	<u><b>hassle</b></u>:chatice,problema. <u><b>to hassle</b></u>:chatear.	1. a problem. <BR>2. to annoy someone, mainly by asking for something again and again.			(1)engrupir,incômodo	(131)aborrecimento,(107)incômodo	trabalheira,incômodo,complicação,problema,·aborrecimento	·aborrecimento,problema	trabalheira,complicação,perturbar						problem, fight,bother, harass																													[sound:7001-8000/howjsay/7001-8000-howjsay-hassle.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-hassle.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-hassle.mp3]					hæsl	ˈhæs əl					"<span class=""ipa dipa"">ˈhæs·əl</span>"																	
